Home_club,Away_club,Stadium,Tournament,Match_date,Match_time,Match fixed,Ticket only discount,Cat 1 quantitiy,Cat 1 price,Cat 2 quantity,Cat 2 price,Cat 3 quantity,Cat 3 price,Cat 4 quantity,Cat 4 price,Hotel price,Package,Description_English,available_before_days,id
Sevilla,Osasuna,Ramon Sanchez Pizjuan,La Liga,26-2-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Osasuna at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,587
Sevilla,Almeria,Ramon Sanchez Pizjuan,La Liga,12-3-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Almeria at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,588
Sevilla,Celta de Vigo,Ramon Sanchez Pizjuan,La Liga,9-4-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Celta de Vigo at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,589
Sevilla,Villarreal,Ramon Sanchez Pizjuan,La Liga,23-4-2023,16:00,0,0,8,135,8,95,,,,,,0,"We offer tickets Sevilla vs. Villarreal at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,590
Sevilla,Girona,Ramon Sanchez Pizjuan,La Liga,30-4-2023,16:00,0,0,8,125,8,85,,,,,,0,"We offer tickets Sevilla vs. Girona at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,591
Sevilla,Espanyol,Ramon Sanchez Pizjuan,La Liga,3-5-2023,20:00,0,0,8,135,8,95,,,,,,0,"We offer tickets Sevilla vs. Espanyol at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,592
Sevilla,Real Betis,Ramon Sanchez Pizjuan,La Liga,21-5-2023,16:00,0,0,8,335,8,275,,,,,,0,"We offer tickets Sevilla vs. Real Betis at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,593
Sevilla,Real Madrid,Ramon Sanchez Pizjuan,La Liga,28-5-2023,16:00,0,0,8,355,8,295,,,,,,0,"We offer tickets Sevilla vs. Real Madrid at Ramon Sanchez Pizjuan. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,594
Valencia,Girona,Mestalla,La Liga,14-8-2022,19:30,1,0,8,165,8,135,,,,,,0,"We offer tickets Valencia vs. Girona at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,595
Valencia,Atletico Madrid,Mestalla,La Liga,29-8-2022,22:00,1,0,8,175,8,145,,,,,,0,"We offer tickets Valencia vs. Atletico Madrid at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,596
Valencia,Getafe,Mestalla,La Liga,4-9-2022,21:00,1,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Getafe at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,597
Valencia,Celta de Vigo,Mestalla,La Liga,17-9-2022,18:30,1,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Celta de Vigo at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,598
Valencia,Elche,Mestalla,La Liga,15-10-2022,16:15,1,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Elche at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",3,599
Valencia,RCD Mallorca,Mestalla,La Liga,22-10-2022,18:30,1,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. RCD Mallorca at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,600
Valencia,FC Barcelona,Mestalla,La Liga,29-10-2022,21:00,1,0,8,225,8,175,,,,,,0,"We offer tickets Valencia vs. FC Barcelona at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,601
Valencia,Real Betis,Mestalla,La Liga,10-11-2022,20:00,1,0,8,115,8,85,,,,,,0,"We offer tickets Valencia vs. Real Betis at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,602
Valencia,Cadiz,Mestalla,La Liga,8-1-2023,16:00,0,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Cadiz at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,603
Valencia,Almeria,Mestalla,La Liga,22-1-2023,16:00,0,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Almeria at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,604
Valencia,Athletic de Bilbao,Mestalla,La Liga,12-2-2023,16:00,0,0,8,115,8,85,,,,,,0,"We offer tickets Valencia vs. Athletic de Bilbao at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,605
Valencia,Real Sociedad,Mestalla,La Liga,26-2-2023,16:00,0,0,8,115,8,85,,,,,,0,"We offer tickets Valencia vs. Real Sociedad at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,606
Valencia,Osasuna,Mestalla,La Liga,12-3-2023,16:00,0,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Osasuna at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,607
Valencia,Rayo Vallecano,Mestalla,La Liga,2-4-2023,16:00,0,0,8,95,8,75,,,,,,0,"We offer tickets Valencia vs. Rayo Vallecano at Mestalla. Various blocks are availabe with seats located on the short-side and long-side of the stadium. Seating is guaranteed in pairs, for larger groups, reach out to our staff to confirm. Tickets will be sent out as e-tickets or mobile tickets, latest 5 days before the game.",1,608
